Date,Month,Outlet ID,Outlet Name,City,Country,Terminal Type,Service,Product,Partner,Free PAX,Paid PAX,Total PAX,Unit Selling Price,Unit Cost,Currency,Total Revenue,Total Cost,Total Margin,Has Issue,Debug Reason
"2026-01-01","Jan 2026","521800807002","Executive Lounge","Agra","India","","Railways Lounge","Railways Lounge","IDFC Bank",1.0000,0.0000,1.0000,450.0000,310.0000,"INR",450.0000,310.0000,140.0000,"No",""
"2026-01-01","Jan 2026","521800807002","Executive Lounge","Agra","India","","Railways Lounge","Railways Lounge","SBI",2.0000,0.0000,2.0000,395.0000,310.0000,"INR",790.0000,620.0000,170.0000,"No",""
"2026-01-01","Jan 2026","524877821036","China Southern First Business Class Lounge","Guangzhou","China","Domestic","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,53.0000,"USD",100.0000,106.0000,-6.0000,"No",""
"2026-01-01","Jan 2026","531090878537","HelloSky Lounge","New York","United States","International","Global Lounge","Global Lounge","IDFC Bank",2.0000,0.0000,2.0000,49.0000,70.0000,"USD",98.0000,140.0000,-42.0000,"No",""
"2026-01-01","Jan 2026","535931347627","Ahlan Lounge At B","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","IDFC Bank",3.0000,0.0000,3.0000,42.5000,63.0245,"USD",127.5000,189.0735,-61.5735,"No",""
"2026-01-01","Jan 2026","542195637603","Capsule Transit MAX","Kuala Lumpur","Malaysia","Domestic","Global Lounge","Global Lounge","ETT",3.0000,0.0000,3.0000,50.0000,48.6000,"USD",150.0000,145.8000,4.2000,"No",""
"2026-01-01","Jan 2026","542195637603","Capsule Transit MAX","Kuala Lumpur","Malaysia","Domestic","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,36.0000,48.6000,"USD",36.0000,48.6000,-12.6000,"No",""
"2026-01-01","Jan 2026","542761640913","Coral Finest Business Class Lounge Cosmo","Bangkok","Thailand","International","Global Lounge","Global Lounge","ICICI",2.0000,0.0000,2.0000,28.1500,58.1429,"USD",56.3000,116.2859,-59.9859,"No",""
"2026-01-01","Jan 2026","546351499631","Marhaba Lounge","Dubai","United Arab Emirates","International","Global Lounge","Global Lounge","ICICI",3.0000,1.0000,4.0000,32.3500,79.8931,"USD",129.4000,319.5725,-190.1725,"No",""
"2026-01-01","Jan 2026","547523273623","Club S E A Sala Leonardo","Milan","Italy","Domestic/International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,72.9790,"USD",100.0000,145.9579,-45.9579,"No",""
